Transaction_ID,Date,Description,Amount,Transaction_Type,Category,Payment_Mode
T1231,2025-01-15,Ola,577,Expense,Transport,Debit Card
T1327,2025-01-15,Spotify,1947,Expense,Entertainment,Debit Card
T1350,2025-01-15,Other Income,4219,Income,Other Income,Credit Card
T1433,2025-01-15,Accessories,5130,Expense,Shopping,Cash
T1455,2025-01-15,Electricity Bill,2504,Expense,Bills,Bank Transfer
T0106,2025-01-16,Electricity Bill,1548,Expense,Bills,Debit Card
T0571,2025-01-16,Doctor Consultation,975,Expense,Healthcare,Cash
T0977,2025-01-16,Vegetables,2785,Expense,Groceries,Cash
T1052,2025-01-16,Salary Credit,43684,Income,Salary,Cash
T1257,2025-01-16,Monthly Salary,44322,Income,Salary,UPI
T0003,2025-01-17,Monthly Salary,44559,Income,Salary,Bank Transfer
T0034,2025-01-17,Bus Pass,1024,Expense,Transport,Credit Card
T0140,2025-01-17,OTT Subscription,1959,Expense,Entertainment,UPI
T0499,2025-01-17,College Fees,7493,Expense,Education,UPI
T0600,2025-01-17,Stationery,3919,Expense,Education,Bank Transfer
T1091,2025-01-17,Ola,2489,Expense,Transport,Debit Card
T1263,2025-01-17,OTT Subscription,772,Expense,Entertainment,Cash
T0186,2025-01-18,Amazon,7751,Expense,Shopping,Credit Card
T1114,2025-01-18,Gift Received,4152,Income,Other Income,UPI
T1165,2025-01-18,Vegetables,1102,Expense,Groceries,Cash
T0152,2025-01-19,Course Fee,5596,Expense,Education,UPI
T0167,2025-01-19,Gift Received,1322,Income,Other Income,Cash
T1036,2025-01-19,House Rent,6067,Expense,Rent,Credit Card
T1409,2025-01-19,Shoes,773,Expense,Shopping,Bank Transfer
T1475,2025-01-19,Electricity Bill,1906,Expense,Bills,Cash
T1078,2025-01-20,College Fees,9807,Expense,Education,Cash
T0146,2025-01-21,Stationery,4402,Expense,Education,UPI
T0255,2025-01-21,Health Checkup,4493,Expense,Healthcare,Bank Transfer
T0569,2025-01-21,Books,1794,Expense,Education,Debit Card
T0801,2025-01-21,Amazon,1662,Expense,Shopping,Credit Card
T0990,2025-01-21,Room Rent,6807,Expense,Rent,Debit Card
T1246,2025-01-21,Freelance Work,8304,Income,Freelance,Credit Card
T0943,2025-01-22,Myntra,4415,Expense,Shopping,Debit Card
T0989,2025-01-22,Gas Bill,4706,Expense,Bills,Cash
T1334,2025-01-22,Spotify,2163,Expense,Entertainment,Cash
T0560,2025-01-23,PG Rent,17482,Expense,Rent,Credit Card
T0960,2025-01-23,Pizza,511,Expense,Food,Bank Transfer
T1037,2025-01-23,Auto Rickshaw,1962,Expense,Transport,UPI
T0010,2025-01-24,Netflix,1053,Expense,Entertainment,UPI
T0548,2025-01-24,BigBasket,1766,Expense,Groceries,UPI
T0721,2025-01-24,Metro,1895,Expense,Transport,Cash
T1368,2025-01-24,Gift Received,3071,Income,Other Income,Bank Transfer
T1446,2025-01-24,Lunch,995,Expense,Food,Debit Card
T0282,2025-01-25,Medical Store,1108,Expense,Healthcare,Cash
T0683,2025-01-25,Swiggy,1512,Expense,Food,UPI
T1221,2025-01-25,Room Rent,7258,Expense,Rent,Bank Transfer
T1434,2025-01-25,Movie,983,Expense,Entertainment,Debit Card
T1483,2025-01-25,Groceries,3977,Expense,Groceries,Credit Card
T0231,2025-01-26,Concert,1836,Expense,Entertainment,Cash
T0337,2025-01-26,Medicine,4596,Expense,Healthcare,UPI
T0694,2025-01-26,Monthly Salary,37521,Income,Salary,Credit Card
T0891,2025-01-26,Restaurant,309,Expense,Food,Credit Card
T0105,2025-01-27,Books,1424,Expense,Education,UPI
T0222,2025-01-27,Movie,524,Expense,Entertainment,Bank Transfer
T0364,2025-01-27,Project Payment,9739,Income,Freelance,UPI
T0746,2025-01-27,Concert,2445,Expense,Entertainment,Bank Transfer
T1094,2025-01-27,Vegetables,2768,Expense,Groceries,Cash
T1380,2025-01-27,Train Ticket,1818,Expense,Transport,Cash
T0038,2025-01-28,Uber,1699,Expense,Transport,Credit Card
T0130,2025-01-28,Electronics,7414,Expense,Shopping,Cash
T0668,2025-01-28,Flipkart,1940,Expense,Shopping,Credit Card
T0955,2025-01-28,Accessories,7119,Expense,Shopping,Credit Card
T1179,2025-01-28,Freelance Payment,9966,Income,Freelance,Bank Transfer
T1341,2025-01-28,Coffee,632,Expense,Food,Debit Card
T0588,2025-01-29,Gas Bill,3481,Expense,Bills,Credit Card
T0640,2025-01-29,Amazon,2848,Expense,Shopping,Bank Transfer
T1007,2025-01-29,Restaurant,166,Expense,Food,Bank Transfer
T1026,2025-01-29,Gaming,1392,Expense,Entertainment,Bank Transfer
T1120,2025-01-29,Auto Rickshaw,2239,Expense,Transport,Credit Card
T0409,2025-01-30,Groceries,4641,Expense,Groceries,Debit Card
T0539,2025-01-30,DMart,4014,Expense,Groceries,Bank Transfer
T0586,2025-01-30,Medicine,4984,Expense,Healthcare,Debit Card
T1219,2025-01-30,Project Payment,4219,Income,Freelance,Credit Card
T0137,2025-01-31,Metro,901,Expense,Transport,Debit Card
T0559,2025-01-31,Electronics,2592,Expense,Shopping,UPI
T0906,2025-01-31,Electronics,4693,Expense,Shopping,UPI
T1235,2025-01-31,Netflix,371,Expense,Entertainment,Credit Card
T1461,2025-01-31,Medicine,5097,Expense,Healthcare,Credit Card
T0211,2025-02-01,Vegetables,1184,Expense,Groceries,Cash
T0385,2025-02-01,House Rent,15383,Expense,Rent,Bank Transfer
T1067,2025-02-01,House Rent,6013,Expense,Rent,Bank Transfer
T1424,2025-02-01,Clothes,2059,Expense,Shopping,Cash
T1454,2025-02-01,PG Rent,7072,Expense,Rent,Cash
T0032,2025-02-02,House Rent,15641,Expense,Rent,Debit Card
T0703,2025-02-02,College Fees,8898,Expense,Education,Bank Transfer
T0763,2025-02-02,Zomato,832,Expense,Food,Bank Transfer
T0915,2025-02-02,PG Rent,9110,Expense,Rent,Bank Transfer
T1126,2025-02-02,Concert,2287,Expense,Entertainment,Cash
T1136,2025-02-02,Salary Credit,33506,Income,Salary,Credit Card
T0133,2025-02-03,Bus Pass,269,Expense,Transport,Debit Card
T0985,2025-02-03,Health Checkup,5834,Expense,Healthcare,Credit Card
T1012,2025-02-03,Amazon,5990,Expense,Shopping,Credit Card
T1478,2025-02-03,Interest,4785,Income,Other Income,Credit Card
T0219,2025-02-04,Monthly Salary,42151,Income,Salary,UPI
T0249,2025-02-04,Movie,330,Expense,Entertainment,Credit Card
T0426,2025-02-04,Cafe,1135,Expense,Food,Cash
T0534,2025-02-04,Monthly Salary,29981,Income,Salary,Cash
T0161,2025-02-05,Reliance Smart,4459,Expense,Groceries,Credit Card
T1118,2025-02-05,Dinner,1511,Expense,Food,Cash
T0143,2025-02-06,Project Payment,14270,Income,Freelance,Bank Transfer
T0238,2025-02-06,Dinner,138,Expense,Food,Cash
T0868,2025-02-06,Freelance Work,7136,Income,Freelance,Credit Card
T0896,2025-02-06,Flipkart,7637,Expense,Shopping,Credit Card
T0924,2025-02-06,Ola,2177,Expense,Transport,UPI
T1151,2025-02-06,Medicine,3632,Expense,Healthcare,Debit Card
T1353,2025-02-06,DMart,3567,Expense,Groceries,Credit Card
T0607,2025-02-07,Pizza,141,Expense,Food,Credit Card
T0772,2025-02-07,Auto Rickshaw,452,Expense,Transport,Debit Card
T1154,2025-02-07,Medical Store,3770,Expense,Healthcare,Debit Card
T0139,2025-02-08,Vegetables,4149,Expense,Groceries,Credit Card
T0239,2025-02-09,Groceries,3613,Expense,Groceries,Cash
T0796,2025-02-09,Spotify,715,Expense,Entertainment,Debit Card
T1087,2025-02-09,Movie,642,Expense,Entertainment,Bank Transfer
T1425,2025-02-09,PG Rent,15637,Expense,Rent,Bank Transfer
T0710,2025-02-10,Medical Store,4283,Expense,Healthcare,Cash
T0866,2025-02-10,Concert,693,Expense,Entertainment,Debit Card
T0887,2025-02-10,Gas Bill,2527,Expense,Bills,Credit Card
T0922,2025-02-10,Lunch,1242,Expense,Food,Cash
T1005,2025-02-10,Cafe,1220,Expense,Food,Credit Card
T1080,2025-02-10,Ola,1985,Expense,Transport,UPI
T0277,2025-02-11,Lunch,302,Expense,Food,Credit Card
T0670,2025-02-11,Myntra,5497,Expense,Shopping,UPI
T0780,2025-02-11,Shoes,1909,Expense,Shopping,Credit Card
T1121,2025-02-11,OTT Subscription,931,Expense,Entertainment,Debit Card
T1139,2025-02-11,Monthly Salary,37297,Income,Salary,Cash
T1182,2025-02-11,Myntra,930,Expense,Shopping,UPI
T0494,2025-02-12,Internet Bill,567,Expense,Bills,Credit Card
T0536,2025-02-12,Room Rent,8501,Expense,Rent,Credit Card
T0537,2025-02-12,House Rent,19239,Expense,Rent,Debit Card
T0756,2025-02-12,Accessories,4707,Expense,Shopping,Bank Transfer
T1362,2025-02-12,DMart,4212,Expense,Groceries,Credit Card
T0121,2025-02-13,Vegetables,4848,Expense,Groceries,Debit Card
T1124,2025-02-13,Doctor Consultation,1346,Expense,Healthcare,UPI
T1442,2025-02-13,Room Rent,18412,Expense,Rent,UPI
T0311,2025-02-14,Course Fee,1363,Expense,Education,Bank Transfer
T1106,2025-02-14,Clothes,5677,Expense,Shopping,Bank Transfer
T0367,2025-02-15,Gas Bill,605,Expense,Bills,Debit Card
T0522,2025-02-15,Uber,1333,Expense,Transport,Credit Card
T0672,2025-02-15,Project Payment,9035,Income,Freelance,Cash
T1143,2025-02-15,Movie,1815,Expense,Entertainment,UPI
T1439,2025-02-15,Vegetables,2207,Expense,Groceries,Cash
T0147,2025-02-16,Pizza,1280,Expense,Food,UPI
T0191,2025-02-16,Pizza,1198,Expense,Food,UPI
T0228,2025-02-16,Water Bill,3739,Expense,Bills,Cash
T0275,2025-02-16,Water Bill,3163,Expense,Bills,UPI
T0618,2025-02-16,BigBasket,3339,Expense,Groceries,Cash
T0893,2025-02-16,Doctor Consultation,3000,Expense,Healthcare,Cash
T0993,2025-02-16,Ola,2447,Expense,Transport,Bank Transfer
T0997,2025-02-16,Project Payment,7946,Income,Freelance,UPI
T1448,2025-02-16,Monthly Salary,37350,Income,Salary,Debit Card
T0262,2025-02-17,Groceries,3264,Expense,Groceries,UPI
T0842,2025-02-17,College Fees,9385,Expense,Education,Debit Card
T1033,2025-02-17,Coffee,1124,Expense,Food,Debit Card
T0258,2025-02-18,Reliance Smart,2364,Expense,Groceries,Bank Transfer
T0705,2025-02-18,Water Bill,3132,Expense,Bills,Cash
T0037,2025-02-19,Online Course,7035,Expense,Education,Cash
T0616,2025-02-19,Salary Credit,30684,Income,Salary,Cash
T0716,2025-02-19,Electricity Bill,3096,Expense,Bills,Credit Card
T1060,2025-02-19,Myntra,3624,Expense,Shopping,UPI
T1224,2025-02-19,Books,511,Expense,Education,Debit Card
T0173,2025-02-20,Petrol,731,Expense,Transport,Credit Card
T0200,2025-02-20,Stationery,6176,Expense,Education,UPI
T0443,2025-02-20,Auto Rickshaw,2489,Expense,Transport,Cash
T1035,2025-02-20,Room Rent,8174,Expense,Rent,Debit Card
T1153,2025-02-20,BigBasket,3376,Expense,Groceries,Debit Card
T1423,2025-02-20,Freelance Payment,3342,Income,Freelance,UPI
T0168,2025-02-21,Medical Store,1380,Expense,Healthcare,Cash
T0632,2025-02-21,PG Rent,12732,Expense,Rent,Credit Card
T0774,2025-02-21,Ola,1351,Expense,Transport,Cash
T0857,2025-02-21,Gas Bill,3840,Expense,Bills,Cash
T0925,2025-02-21,PG Rent,9104,Expense,Rent,Debit Card
T1138,2025-02-21,BigBasket,428,Expense,Groceries,Cash
T1276,2025-02-21,Internet Bill,4369,Expense,Bills,Bank Transfer
T0131,2025-02-22,Concert,2060,Expense,Entertainment,Cash
T0254,2025-02-22,College Fees,8566,Expense,Education,Debit Card
T0273,2025-02-22,House Rent,10670,Expense,Rent,UPI
T0572,2025-02-22,Amazon,397,Expense,Shopping,UPI
T0712,2025-02-22,Swiggy,1791,Expense,Food,UPI
T0791,2025-02-22,Room Rent,19592,Expense,Rent,Credit Card
T0873,2025-02-22,Project Payment,2881,Income,Freelance,UPI
T1038,2025-02-22,Netflix,2465,Expense,Entertainment,Credit Card
T1226,2025-02-22,House Rent,19624,Expense,Rent,Debit Card
T0601,2025-02-23,Myntra,6405,Expense,Shopping,UPI
T0181,2025-02-24,Stationery,5147,Expense,Education,Credit Card
T0566,2025-02-24,Medicine,3530,Expense,Healthcare,UPI
T0719,2025-02-24,Mobile Recharge,1289,Expense,Bills,Cash
T0764,2025-02-24,Gaming,454,Expense,Entertainment,Credit Card
T0919,2025-02-24,Uber,2388,Expense,Transport,Cash
T1398,2025-02-24,Metro,2353,Expense,Transport,UPI
T0039,2025-02-25,Gas Bill,3975,Expense,Bills,Debit Card
T0193,2025-02-25,Medical Store,5275,Expense,Healthcare,Bank Transfer
T0338,2025-02-25,OTT Subscription,1598,Expense,Entertainment,Cash
T0469,2025-02-25,Books,1025,Expense,Education,Bank Transfer
T1256,2025-02-25,Freelance Payment,5781,Income,Freelance,Debit Card
T1365,2025-02-25,DMart,4106,Expense,Groceries,Bank Transfer
T1488,2025-02-25,College Fees,5765,Expense,Education,Bank Transfer
T1158,2025-02-26,Health Checkup,1602,Expense,Healthcare,Credit Card
T1476,2025-02-26,PG Rent,8793,Expense,Rent,Bank Transfer
T0531,2025-02-27,Bus Pass,99,Expense,Transport,Credit Card
T1344,2025-02-27,Amazon,3163,Expense,Shopping,UPI
T0142,2025-02-28,Myntra,7071,Expense,Shopping,Debit Card
T0485,2025-02-28,Doctor Consultation,5718,Expense,Healthcare,Credit Card
T0698,2025-02-28,Medicine,3359,Expense,Healthcare,Cash
T0753,2025-02-28,Room Rent,10633,Expense,Rent,UPI
T0771,2025-02-28,Coffee,1420,Expense,Food,Bank Transfer
T1367,2025-02-28,Doctor Consultation,1692,Expense,Healthcare,Cash
T0617,2025-03-01,Vegetables,4306,Expense,Groceries,Credit Card
T1200,2025-03-01,Groceries,2105,Expense,Groceries,Cash
T1229,2025-03-01,Coffee,813,Expense,Food,Credit Card
T0158,2025-03-02,Clothes,7940,Expense,Shopping,Credit Card
T0395,2025-03-02,PG Rent,14664,Expense,Rent,Debit Card
T0816,2025-03-02,BigBasket,2887,Expense,Groceries,Cash
T1002,2025-03-02,Electricity Bill,2373,Expense,Bills,UPI
T1128,2025-03-02,PG Rent,17109,Expense,Rent,Bank Transfer
T1324,2025-03-02,Mobile Recharge,2480,Expense,Bills,Credit Card
T1432,2025-03-02,Course Fee,5116,Expense,Education,Cash
T0667,2025-03-03,Groceries,2744,Expense,Groceries,Cash
T0743,2025-03-03,Reliance Smart,4859,Expense,Groceries,Credit Card
T1431,2025-03-03,Netflix,2241,Expense,Entertainment,Debit Card
T0310,2025-03-04,Salary Credit,33657,Income,Salary,Cash
T0359,2025-03-04,PG Rent,12464,Expense,Rent,Credit Card
T0576,2025-03-04,Freelance Work,4752,Income,Freelance,Bank Transfer
T1119,2025-03-04,Course Fee,5261,Expense,Education,Cash
T1472,2025-03-05,Water Bill,376,Expense,Bills,Debit Card
T0107,2025-03-06,Bus Pass,942,Expense,Transport,Cash
T0208,2025-03-06,House Rent,18216,Expense,Rent,UPI
T0322,2025-03-06,House Rent,14234,Expense,Rent,Debit Card
T0627,2025-03-06,Salary Credit,34616,Income,Salary,Debit Card
T0907,2025-03-06,Stationery,5990,Expense,Education,Cash
T1374,2025-03-06,Monthly Salary,28520,Income,Salary,Debit Card
T0599,2025-03-07,Dinner,1678,Expense,Food,Bank Transfer
T0662,2025-03-07,House Rent,17136,Expense,Rent,Credit Card
T0725,2025-03-07,Gift Received,4629,Income,Other Income,Cash
T0800,2025-03-07,Flipkart,5457,Expense,Shopping,Bank Transfer
T0237,2025-03-08,Gas Bill,4877,Expense,Bills,Credit Card
T0260,2025-03-08,Auto Rickshaw,2339,Expense,Transport,Cash
T0744,2025-03-08,Netflix,1453,Expense,Entertainment,Cash
T1390,2025-03-08,Shoes,4331,Expense,Shopping,UPI
T0979,2025-03-09,Gaming,2422,Expense,Entertainment,Bank Transfer
T1185,2025-03-09,Vegetables,475,Expense,Groceries,Credit Card
T0056,2025-03-10,Train Ticket,2316,Expense,Transport,Debit Card
T0562,2025-03-10,DMart,4951,Expense,Groceries,UPI
T0778,2025-03-10,Online Course,7883,Expense,Education,Cash
T1329,2025-03-10,BigBasket,3441,Expense,Groceries,Cash
T0102,2025-03-11,Amazon,2431,Expense,Shopping,Cash
T0457,2025-03-11,Reliance Smart,3412,Expense,Groceries,Credit Card
T0504,2025-03-11,DMart,2571,Expense,Groceries,Debit Card
T0948,2025-03-11,Water Bill,3538,Expense,Bills,Bank Transfer
T0994,2025-03-11,Online Course,708,Expense,Education,Debit Card
T1156,2025-03-11,Internet Bill,2509,Expense,Bills,Debit Card
T1294,2025-03-11,Project Payment,11022,Income,Freelance,Debit Card
T0272,2025-03-12,Coffee,860,Expense,Food,Bank Transfer
T0696,2025-03-12,Myntra,3228,Expense,Shopping,Cash
T0974,2025-03-12,House Rent,13046,Expense,Rent,Debit Card
T1499,2025-03-12,Restaurant,738,Expense,Food,Bank Transfer
T0002,2025-03-13,House Rent,15674,Expense,Rent,Cash
T0017,2025-03-13,Room Rent,10304,Expense,Rent,Bank Transfer
T0402,2025-03-13,Spotify,2459,Expense,Entertainment,Credit Card
T0442,2025-03-13,Bus Pass,1466,Expense,Transport,UPI
T1208,2025-03-13,Ola,901,Expense,Transport,Credit Card
T0190,2025-03-14,Water Bill,4865,Expense,Bills,Credit Card
T0768,2025-03-14,Salary Credit,30789,Income,Salary,Credit Card
T0770,2025-03-14,Gas Bill,2370,Expense,Bills,Debit Card
T1458,2025-03-14,Accessories,2308,Expense,Shopping,Bank Transfer
T0440,2025-03-15,DMart,2751,Expense,Groceries,Debit Card
T1050,2025-03-15,Movie,1705,Expense,Entertainment,Debit Card
T1301,2025-03-15,Salary Credit,42400,Income,Salary,Cash
T0278,2025-03-16,Freelance Payment,13404,Income,Freelance,Debit Card
T0360,2025-03-16,OTT Subscription,423,Expense,Entertainment,Credit Card
T0736,2025-03-16,Spotify,2316,Expense,Entertainment,UPI
T0085,2025-03-17,Zomato,1694,Expense,Food,Cash
T0213,2025-03-17,Project Payment,12372,Income,Freelance,Bank Transfer
T0946,2025-03-17,Salary Credit,29615,Income,Salary,Bank Transfer
T0134,2025-03-18,Netflix,1116,Expense,Entertainment,UPI
T0163,2025-03-18,Medicine,2923,Expense,Healthcare,Bank Transfer
T0259,2025-03-18,Myntra,2841,Expense,Shopping,Cash
T0386,2025-03-18,PG Rent,7904,Expense,Rent,Debit Card
T0631,2025-03-18,Cashback,1365,Income,Other Income,Bank Transfer
T0692,2025-03-18,House Rent,17854,Expense,Rent,UPI
T0706,2025-03-18,Room Rent,6894,Expense,Rent,UPI
T1028,2025-03-18,Lunch,868,Expense,Food,Bank Transfer
T1129,2025-03-18,Electricity Bill,602,Expense,Bills,Debit Card
T1147,2025-03-18,Health Checkup,1644,Expense,Healthcare,Debit Card
T1363,2025-03-18,Spotify,2242,Expense,Entertainment,Cash
T0556,2025-03-19,Freelance Work,5817,Income,Freelance,Bank Transfer
T1340,2025-03-19,Medical Store,1747,Expense,Healthcare,Debit Card
T0305,2025-03-20,Course Fee,7573,Expense,Education,UPI
T0944,2025-03-20,Other Income,4150,Income,Other Income,Bank Transfer
T0972,2025-03-20,Gaming,1448,Expense,Entertainment,Cash
T1214,2025-03-20,Medical Store,5556,Expense,Healthcare,Credit Card
T1378,2025-03-20,Health Checkup,4062,Expense,Healthcare,UPI
T0045,2025-03-21,Electricity Bill,4741,Expense,Bills,UPI
T0398,2025-03-21,Uber,1767,Expense,Transport,Bank Transfer
T0875,2025-03-21,Freelance Payment,5757,Income,Freelance,Debit Card
T1197,2025-03-21,Gift Received,2921,Income,Other Income,Cash
T0047,2025-03-22,Cashback,2022,Income,Other Income,UPI
T0179,2025-03-22,Project Payment,6901,Income,Freelance,Cash
T0797,2025-03-22,Train Ticket,993,Expense,Transport,Cash
T0967,2025-03-22,Gift Received,3411,Income,Other Income,Credit Card
T1041,2025-03-22,Zomato,523,Expense,Food,Bank Transfer
T1400,2025-03-22,Health Checkup,1013,Expense,Healthcare,Debit Card
T1430,2025-03-22,College Fees,6994,Expense,Education,UPI
T0587,2025-03-23,Interest,2683,Income,Other Income,Bank Transfer
T0700,2025-03-23,Other Income,4089,Income,Other Income,Debit Card
T0060,2025-03-24,Room Rent,13007,Expense,Rent,Bank Transfer
T0274,2025-03-24,House Rent,19615,Expense,Rent,Cash
T0609,2025-03-24,House Rent,11536,Expense,Rent,Bank Transfer
T0824,2025-03-24,Zomato,1786,Expense,Food,Debit Card
T0912,2025-03-24,Salary Credit,37688,Income,Salary,Credit Card
T1192,2025-03-24,Lunch,1276,Expense,Food,Debit Card
T1389,2025-03-24,OTT Subscription,453,Expense,Entertainment,Cash
T0065,2025-03-25,Clothes,503,Expense,Shopping,Debit Card
T0886,2025-03-25,Vegetables,2107,Expense,Groceries,Credit Card
T1000,2025-03-25,Accessories,6133,Expense,Shopping,UPI
T1220,2025-03-25,Freelance Payment,12424,Income,Freelance,Credit Card
T1355,2025-03-25,Reliance Smart,1562,Expense,Groceries,UPI
T0043,2025-03-26,Reliance Smart,4027,Expense,Groceries,Credit Card
T0100,2025-03-26,Shoes,4675,Expense,Shopping,UPI
T0708,2025-03-26,Freelance Payment,5946,Income,Freelance,Credit Card
T1029,2025-03-26,BigBasket,1257,Expense,Groceries,Credit Card
T1183,2025-03-26,Clothes,1532,Expense,Shopping,Debit Card
T1441,2025-03-26,Gaming,607,Expense,Entertainment,Bank Transfer
T1486,2025-03-26,Train Ticket,446,Expense,Transport,UPI
T0042,2025-03-27,Doctor Consultation,3485,Expense,Healthcare,UPI
T0546,2025-03-27,Netflix,2450,Expense,Entertainment,UPI
T0677,2025-03-27,Salary Credit,37529,Income,Salary,Cash
T0806,2025-03-27,Online Course,9976,Expense,Education,UPI
T0928,2025-03-27,PG Rent,14268,Expense,Rent,Credit Card
T1084,2025-03-27,Gift Received,2633,Income,Other Income,UPI
T1223,2025-03-27,Course Fee,4747,Expense,Education,Credit Card
T1053,2025-03-29,Stationery,9715,Expense,Education,Debit Card
T1160,2025-03-29,House Rent,7416,Expense,Rent,Cash
T0589,2025-03-30,Course Fee,9992,Expense,Education,UPI
T0626,2025-03-30,Flipkart,6922,Expense,Shopping,Debit Card
T0939,2025-03-30,Bus Pass,1280,Expense,Transport,UPI
T0148,2025-03-31,Medicine,1686,Expense,Healthcare,Bank Transfer
T0176,2025-03-31,Project Payment,13192,Income,Freelance,Debit Card
T0206,2025-03-31,Monthly Salary,28486,Income,Salary,Credit Card
T1089,2025-03-31,Electronics,3958,Expense,Shopping,Credit Card
T1090,2025-03-31,Water Bill,1781,Expense,Bills,Bank Transfer
T1211,2025-03-31,Flipkart,1823,Expense,Shopping,Cash
T0247,2025-04-01,Health Checkup,4818,Expense,Healthcare,Bank Transfer
T0742,2025-04-01,Ola,761,Expense,Transport,Bank Transfer
T0859,2025-04-01,Accessories,5466,Expense,Shopping,Bank Transfer
T0879,2025-04-01,Health Checkup,4488,Expense,Healthcare,Bank Transfer
T1010,2025-04-01,College Fees,1825,Expense,Education,Credit Card
T0024,2025-04-02,Metro,1272,Expense,Transport,Bank Transfer
T0129,2025-04-02,House Rent,10494,Expense,Rent,UPI
T0430,2025-04-02,Monthly Salary,35896,Income,Salary,Debit Card
T0439,2025-04-02,College Fees,3694,Expense,Education,Bank Transfer
T0760,2025-04-02,House Rent,15420,Expense,Rent,Debit Card
T0787,2025-04-02,Electronics,6296,Expense,Shopping,Cash
T1009,2025-04-02,Gaming,2444,Expense,Entertainment,Bank Transfer
T1111,2025-04-02,Doctor Consultation,5199,Expense,Healthcare,Cash
T1112,2025-04-02,Ola,2264,Expense,Transport,Cash
T1258,2025-04-02,Books,5260,Expense,Education,Bank Transfer
T1354,2025-04-02,DMart,468,Expense,Groceries,Debit Card
T0227,2025-04-03,DMart,1462,Expense,Groceries,UPI
T0585,2025-04-03,Interest,740,Income,Other Income,Credit Card
T0802,2025-04-03,Groceries,4917,Expense,Groceries,UPI
T1243,2025-04-03,Vegetables,2055,Expense,Groceries,Bank Transfer
T1285,2025-04-03,House Rent,15451,Expense,Rent,Cash
T1444,2025-04-03,Spotify,1104,Expense,Entertainment,Bank Transfer
T0889,2025-04-04,Salary Credit,42836,Income,Salary,Credit Card
